Procédure : QJM - Année : 1974

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920010;La Seine à Paris [Austerlitz après création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1974;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;291.00;291.00; ;;
F;360.00;360.00; ;;
M;375.00;375.00; ;;
A;247.00;247.00; ;;
M;125.00;125.00; ;;
J;71.50;71.50; ;;
J;62.70;62.70; ;;
A;56.60;56.60; ;;
S;71.60;71.60; ;;
O;295.00;295.00; ;;
N;461.00;461.00; ;;
D;636.00;636.00; ;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1974
Ecoulement mensuel;Validité;;;;;;;;;;;;;;
;Débit moyen (m3/s);291.00;360.00;375.00;247.00;125.00;71.50;62.70;56.60;71.60;295.00;461.00;636.00;254.00;
;Débit moyen spécifique (l/s/km2);6.64;8.23;8.57;5.64;2.86;1.63;1.43;1.29;1.64;6.74;10.50;14.50;5.80;
;Lame d'eau (mm);17.80;19.90;23.00;14.60;7.70;4.20;3.80;3.50;4.20;18.10;27.30;38.90;183.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);291.00;360.00;375.00;247.00;125.00;71.50;62.70;56.60;71.60;295.00;461.00;636.00;254.00;
;Débit moyen spécifique (l/s/km2);6.64;8.23;8.57;5.64;2.86;1.63;1.43;1.29;1.64;6.74;10.50;14.50;5.80;
;Lame d'eau (mm);17.80;19.90;23.00;14.60;7.70;4.20;3.80;3.50;4.20;18.10;27.30;38.90;183.00;
;
Maximum instantané;();;;;;;;;;;;;;;
;Date; ; ; ; ; ; ; ; ; ; ; ; ; ;
;();;;;;;;;;;;;;;
;Date; ; ; ; ; ; ; ; ; ; ; ; ; ;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;530.00;;250.00;;195.00;;470.00;;195.00;;75.00;;70.00;;50.00;;80.00;;90.00;;460.00;;480.00;;
2;510.00;;210.00;;190.00;;480.00;;180.00;;75.00;;75.00;;60.00;;55.00;;90.00;;510.00;;590.00;;
3;450.00;;210.00;;180.00;;440.00;;170.00;;80.00;;65.00;;50.00;;19.00;;100.00;;530.00;;590.00;;
4;420.00;;220.00;;210.00;;440.00;;120.00;;90.00;;60.00;;55.00;;20.00;;110.00;;560.00;;600.00;;
5;280.00;;240.00;;210.00;;390.00;;200.00;;90.00;;60.00;;50.00;;70.00;;110.00;;580.00;;590.00;;
6;250.00;;240.00;;220.00;;350.00;;170.00;;95.00;;70.00;;55.00;;80.00;;140.00;;570.00;;570.00;;
7;320.00;;370.00;;220.00;;330.00;;145.00;;70.00;;85.00;;45.00;;85.00;;135.00;;560.00;;570.00;;
8;290.00;;510.00;;220.00;;310.00;;130.00;;75.00;;55.00;;40.00;;70.00;;135.00;;530.00;;560.00;;
9;270.00;;530.00;;195.00;;310.00;;120.00;;70.00;;60.00;;60.00;;80.00;;200.00;;460.00;;520.00;;
10;310.00;;580.00;;195.00;;270.00;;135.00;;40.00;;40.00;;60.00;;90.00;;160.00;;520.00;;550.00;;
11;320.00;;550.00;;190.00;;250.00;;120.00;;70.00;;75.00;;60.00;;65.00;;125.00;;450.00;;520.00;;
12;310.00;;500.00;;165.00;;260.00;;130.00;;75.00;;60.00;;50.00;;80.00;;250.00;;480.00;;520.00;;
13;280.00;;480.00;;175.00;;250.00;;135.00;;75.00;;55.00;;60.00;;80.00;;250.00;;470.00;;530.00;;
14;270.00;;490.00;;220.00;;250.00;;130.00;;60.00;;60.00;;60.00;;65.00;;250.00;;470.00;;560.00;;
15;270.00;;470.00;;200.00;;220.00;;120.00;;70.00;;60.00;;55.00;;65.00;;220.00;;420.00;;580.00;;
16;280.00;;480.00;;240.00;;220.00;;120.00;;70.00;;80.00;;60.00;;85.00;;240.00;;500.00;;600.00;;
17;270.00;;450.00;;260.00;;170.00;;110.00;;70.00;;50.00;;60.00;;40.00;;250.00;;420.00;;580.00;;
18;270.00;;410.00;;310.00;;195.00;;130.00;;70.00;;75.00;;60.00;;75.00;;250.00;;400.00;;630.00;;
